t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,est_dist_y,real_dist_y
4,9.5329,10,0.193419,0,-0.042443,0,2.66721,2.5,-0.0589519,0,-0.0608281,0.0269739,0.149612,0.252441
4.1,9.78075,10,0.209467,0,-0.047358,0,2.61182,2.5,-0.0647643,0,-0.0083072,0.0745675,0.122703,0.260227
4.2,10.0429,10.5,0.219131,0,-0.0521804,0,2.80675,2.5,-0.0623981,0,-0.264396,0.0631449,0.14153,0.267362
4.3,10.315,10.5,0.228443,0,-0.0606781,0,2.48011,2.5,-0.118402,0,0.101267,0.135043,0.182821,0.273829
4.4,10.5418,11,0.237234,0,-0.0683913,0,2.12976,2.5,-0.0956625,0,0.960397,0.0767162,0.208572,0.279612
4.5,10.7485,11.25,0.254867,0,-0.0763816,0,2.06611,2.5,-0.0909321,0,1.37848,0.173305,0.155851,0.284695
4.6,10.9689,11.5,0.260936,0,-0.0845825,0,2.31089,2.5,-0.0992045,0,1.13795,0.175311,0.178346,0.289067
4.7,11.2054,11.75,0.27366,0,-0.0926706,0,2.5441,2.5,-0.0830494,0,0.705509,0.0509212,0.239421,0.292717
4.8,11.4624,11.75,0.272585,0,-0.101127,0,2.55232,2.5,-0.109761,0,0.0959024,0.165043,0.235166,0.295635
4.9,11.7087,12.25,0.273639,0,-0.109825,0,2.23941,2.5,-0.0665584,0,0.917366,0.150538,0.200594,0.297814
5,11.9205,12.5,0.270586,0,-0.11399,0,2.32133,2.5,-0.053307,0,1.06558,0.0474729,0.239312,0.299248
5.1,12.1632,12.75,0.280245,0,-0.119064,0,2.63949,2.5,-0.0488965,0,0.543132,0.0164045,0.267341,0.299935
5.2,12.4231,13,0.275305,0,-0.124187,0,2.40656,2.5,-0.0613141,0,0.770562,-0.0515223,0.335334,0.299872
5.3,12.6902,13,0.270652,0,-0.125349,0,2.8445,2.5,0.00127693,0,0.100846,-0.227386,0.342338,0.29906
5.4,12.9543,13.5,0.276776,0,-0.126163,0,2.65267,2.5,0.022893,0,0.206347,-0.20758,0.315629,0.297499
5.5,13.1789,13.75,0.269741,0,-0.126063,0,2.17566,2.5,0.00095384,0,1.09052,-0.121702,0.290109,0.295196
5.6,13.3971,14,0.278282,0,-0.12729,0,2.28093,2.5,-0.0264822,0,1.20409,-0.0586751,0.295686,0.292154
5.7,13.6392,14.25,0.270706,0,-0.129101,0,2.55097,2.5,-0.00418691,0,0.77243,-0.103171,0.289114,0.288383
5.8,13.8978,14.25,0.266664,0,-0.130136,0,2.58918,2.5,-0.0117789,0,0.591535,-0.0491762,0.279933,0.28389
5.9,14.1515,14.75,0.264151,0,-0.131478,0,2.25193,2.5,-0.0397618,0,1.12461,0.0138723,0.284322,0.278688
6,14.3852,15,0.256728,0,-0.135663,0,2.50658,2.5,-0.0668155,0,0.872771,0.0386722,0.314544,0.272789
6.1,14.6686,15.25,0.245446,0,-0.141427,0,2.80633,2.5,-0.0575432,0,-0.0643041,0.0439793,0.317543,0.266209
6.2,14.9466,15.5,0.230868,0,-0.145873,0,2.76975,2.5,-0.0554462,0,-0.109918,0.0874924,0.289794,0.258963
6.3,15.2288,15.5,0.215768,0,-0.149745,0,2.90995,2.5,-0.0319612,0,-0.313733,0.0859461,0.278897,0.25107
6.4,15.504,16,0.201927,0,-0.152837,0,2.44847,2.5,-0.0477059,0,0.4412,0.0574147,0.319769,0.242549
6.5,15.747,16.25,0.185357,0,-0.156409,0,2.25581,2.5,-0.0474925,0,0.999291,0.129118,0.279782,0.233422
6.6,15.9717,16.5,0.163365,0,-0.159085,0,2.14759,2.5,-0.0096669,0,1.3952,0.0107258,0.315753,0.223712
6.7,16.2049,16.75,0.151703,0,-0.158831,0,2.42363,2.5,0.0154151,0,1.08519,0.0124141,0.278866,0.213442
6.8,16.4485,17,0.138526,0,-0.157633,0,2.59425,2.5,0.00712263,0,0.716756,0.0492672,0.267862,0.202639
6.9,16.7051,17.25,0.115398,0,-0.157605,0,2.61379,2.5,0.00367504,0,0.547839,0.157682,0.218129,0.191329
7,16.9896,17.5,0.0910314,0,-0.157948,0,2.80687,2.5,-0.0190022,0,-0.0452046,0.194208,0.226639,0.179542
7.1,17.2357,17.75,0.0703094,0,-0.156771,0,2.31899,2.5,0.0230089,0,0.776723,0.153795,0.193982,0.167305
7.2,17.4973,18,0.0480474,0,-0.151951,0,2.5982,2.5,0.0712153,0,0.56558,0.0932033,0.168187,0.15465
7.3,17.7936,18.25,0.0227978,0,-0.143607,0,3.18697,2.5,0.0885143,0,-0.581096,0.0297532,0.155706,0.141609
7.4,18.0869,18.5,-0.00947616,0,-0.131847,0,2.64657,2.5,0.117086,0,-0.0409203,-0.120267,0.183942,0.128214
7.5,18.3322,18.75,-0.0243735,0,-0.121165,0,2.56026,2.5,0.118422,0,0.0253112,-0.126475,0.19145,0.114498
7.6,18.6025,19,-0.0362011,0,-0.112545,0,2.72044,2.5,0.0693473,0,-0.146476,-0.0763188,0.216457,0.100496
7.7,18.8661,19.25,-0.0571527,0,-0.105864,0,2.85922,2.5,0.0658275,0,-0.357268,-0.0378634,0.186565,0.0862434
7.8,19.1733,19.5,-0.083968,0,-0.100038,0,3.17717,2.5,0.0632057,0,-1.13126,-0.11069,0.209786,0.0717748
7.9,19.4758,19.75,-0.102482,0,-0.095971,0,3.07656,2.5,0.0312611,0,-1.2741,0.0414071,0.183107,0.0571268
8,19.7599,20,-0.125336,0,-0.0928931,0,2.69855,2.5,0.0295986,0,-0.727107,0.163255,0.115901,0.042336
8.1,20.008,20,-0.14317,0,-0.089016,0,2.31985,2.5,0.0623304,0,0.267068,0.0253828,0.107115,0.0274394
8.2,20.2444,20.25,-0.164659,0,-0.0861001,0,2.37724,2.5,0.0150895,0,0.330003,0.256028,0.0762096,0.0124742
8.3,20.4755,20.75,-0.185956,0,-0.0840713,0,2.33716,2.5,0.0458852,0,0.417254,0.173007,0.0706309,-0.00252217
8.4,20.7292,21,-0.21136,0,-0.0794871,0,2.32278,2.5,0.076617,0,0.270008,-0.039045,0.115044,-0.0175122
8.5,20.945,21.25,-0.232827,0,-0.0737622,0,2.10072,2.5,0.0722523,0,0.866132,0.157725,0.0373879,-0.0324585
8.6,21.1641,21.25,-0.249597,0,-0.0682733,0,2.23891,2.5,0.0835258,0,0.852042,0.116546,0.0360195,-0.0473237
8.7,21.3737,21.75,-0.267103,0,-0.0599585,0,2.04551,2.5,0.145941,0,1.24059,-0.0954526,0.0469045,-0.0620706
8.8,21.5904,22,-0.28219,0,-0.0507101,0,2.21215,2.5,0.109982,0,1.09247,-0.111227,0.0984448,-0.0766623
8.9,21.8364,22.25,-0.304146,0,-0.0430425,0,2.75877,2.5,0.0605376,0,-0.139553,0.0384343,0.0613961,-0.0910625
9,22.1163,22.5,-0.323769,0,-0.034017,0,2.79201,2.5,0.117019,0,-0.257481,-0.164198,0.0716004,-0.105235
9.1,22.4012,22.5,-0.345022,0,-0.022556,0,3.18433,2.5,0.104826,0,-1.08064,-0.240023,0.12374,-0.119144
9.2,22.7156,23,-0.365324,0,-0.0113595,0,2.93827,2.5,0.114903,0,-0.998854,-0.216618,0.0733048,-0.132756
9.3,23.0198,23.25,-0.378492,0,0.00114011,0,3.1002,2.5,0.129395,0,-1.34949,-0.198874,0.0119117,-0.146036
9.4,23.3102,23.5,-0.395474,0,0.0146878,0,2.86503,2.5,0.125816,0,-1.12375,-0.17049,-0.0117801,-0.158951
9.5,23.5976,23.75,-0.404899,0,0.0281231,0,2.77452,2.5,0.133586,0,-0.343003,-0.153697,-0.0604749,-0.171468
9.6,23.892,23.75,-0.408387,0,0.0391076,0,2.89681,2.5,0.102323,0,-0.951624,-0.0969854,-0.0772967,-0.183557
9.7,24.1665,24.25,-0.416095,0,0.0485159,0,2.55212,2.5,0.0921596,0,-0.16799,-0.0303766,-0.121714,-0.195188
9.8,24.4231,24.5,-0.414671,0,0.0579905,0,2.46734,2.5,0.132556,0,-0.0111231,-0.151533,-0.125555,-0.20633
9.9,24.6761,24.75,-0.4223,0,0.0688836,0,2.62747,2.5,0.113987,0,-0.21052,-0.0706116,-0.166832,-0.216956
10,24.9302,25,-0.423995,0,0.0792096,0,2.55654,2.5,0.101757,0,-0.120222,-0.125637,-0.133782,-0.227041
10.1,25.1701,25,-0.42754,0,0.0887446,0,2.54399,2.5,0.101443,0,-0.351796,-0.233947,-0.0905857,-0.236558
10.2,25.4139,25.5,-0.43262,0,0.0952498,0,2.41165,2.5,0.0398533,0,-0.0544747,-0.0826003,-0.092562,-0.245483
