t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.165,0.363338,0.25,-0.00590236,0,-0.000392452,0,2.27514,2.5,-0.0239921,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
0.17,0.372356,0.25,-0.00430228,0,-0.000521601,0,2.32041,2.5,-0.0182655,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
0.175,0.382433,0.25,-0.00527783,0,-0.0004942,0,2.23036,2.5,-0.0141018,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
0.18,0.394342,0.25,-0.00462716,0,-0.00048525,0,2.24482,2.5,-0.0078094,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
0.185,0.405216,0.25,-0.00410896,0,-0.000622546,0,2.23446,2.5,-0.0122765,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
0.19,0.417279,0.25,-0.0027866,0,-0.000590871,0,2.24449,2.5,-0.012772,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
0.195,0.429653,0.25,-0.00284996,0,-0.000630978,0,2.32305,2.5,-0.00934421,0,0.263302,-0.00177101,0.207467,0.13257,0.315171,-0.0149601
0.2,0.439917,0.5,-0.0040418,0,-0.000723305,0,2.23509,2.5,-0.0141148,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.205,0.450765,0.5,-0.00532378,0,-0.000799236,0,2.23703,2.5,-0.00860633,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.21,0.46233,0.5,-0.00528209,0,-0.000917802,0,2.26956,2.5,-0.0119189,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.215,0.472881,0.5,-0.00437879,0,-0.000704217,0,2.35125,2.5,-0.0157685,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.22,0.485154,0.5,-0.00374078,0,-0.00100614,0,2.28919,2.5,-0.0154168,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.225,0.496099,0.5,-0.00584456,0,-0.00103252,0,2.38222,2.5,-0.017268,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.23,0.507891,0.5,-0.00574432,0,-0.00103639,0,2.42914,2.5,-0.0174819,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.235,0.519011,0.5,-0.0042119,0,-0.0010503,0,2.40083,2.5,-0.0150999,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
0.24,0.531249,0.5,-0.00452128,0,-0.00118481,0,2.36731,2.5,-0.00965496,0,-0.0110313,0.0495766,0.419072,-0.0453674,0.490304,-0.0251851
