t,x,x_ref,y,y_ref,phi,phi_ref,v_r,v_ref,delta_f,delta_ref,a,w_delta,noisy_x_meas,noisy_y_meas,x_filtered,y_filtered
0.165,0.363726,0.25,-0.00590334,0,-0.000425558,0,2.2872,2.5,-0.0254302,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.17,0.372804,0.25,-0.00430367,0,-0.000560881,0,2.33333,2.5,-0.0198133,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.175,0.382946,0.25,-0.0052797,0,-0.000540116,0,2.24414,2.5,-0.0157593,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.18,0.394925,0.25,-0.00462958,0,-0.000537915,0,2.25947,2.5,-0.00957659,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.185,0.405872,0.25,-0.00411201,0,-0.000682294,0,2.24998,2.5,-0.0141534,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.19,0.418012,0.25,-0.00279038,0,-0.000658229,0,2.26087,2.5,-0.0147586,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.195,0.430468,0.25,-0.00285455,0,-0.000706442,0,2.34029,2.5,-0.0114405,0,0.436135,-0.0237098,0.207465,0.132571,0.212083,0.0437768
0.2,0.440818,0.5,-0.00404732,0,-0.000807505,0,2.25394,2.5,-0.0162446,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.205,0.45176,0.5,-0.00533032,0,-0.000892175,0,2.25749,2.5,-0.0107697,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.21,0.463428,0.5,-0.00528976,0,-0.00101947,0,2.29163,2.5,-0.0141159,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.215,0.474089,0.5,-0.00438772,0,-0.000815015,0,2.37493,2.5,-0.0179991,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.22,0.486481,0.5,-0.00375111,0,-0.00112672,0,2.31447,2.5,-0.0176809,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.225,0.497552,0.5,-0.00585642,0,-0.00116281,0,2.40912,2.5,-0.0195657,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.23,0.509478,0.5,-0.00575788,0,-0.00117702,0,2.45764,2.5,-0.0198132,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.235,0.520741,0.5,-0.00422734,0,-0.00120168,0,2.43094,2.5,-0.0174648,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.24,0.53313,0.5,-0.00453872,0,-0.00134689,0,2.39904,2.5,-0.0120534,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.245,0.545852,0.5,-0.00602879,0,-0.00150884,0,2.40278,2.5,-0.0124939,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.25,0.557636,0.5,-0.00518912,0,-0.00157271,0,2.35183,2.5,-0.003897,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.255,0.570782,0.5,-0.00453597,0,-0.00151449,0,2.36653,2.5,-0.00377752,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.26,0.58371,0.5,-0.00221016,0,-0.00154739,0,2.38927,2.5,-0.00310625,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.265,0.594481,0.5,-0.00144564,0,-0.00147266,0,2.3443,2.5,0.00115293,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.27,0.604316,0.5,-0.00190821,0,-0.00142635,0,2.41986,2.5,-0.00274002,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.275,0.616667,0.5,-0.00249851,0,-0.00130643,0,2.3483,2.5,-0.0044458,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.28,0.629623,0.5,-0.00223969,0,-0.00126259,0,2.22037,2.5,-0.00461975,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.285,0.641491,0.5,-0.00229753,0,-0.00114283,0,2.19023,2.5,-0.00570305,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.29,0.651237,0.5,-0.00250293,0,-0.0012887,0,2.19071,2.5,0.000897007,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.295,0.662869,0.5,-0.00233739,0,-0.00128698,0,2.13328,2.5,0.00363139,0,0.310732,0.0428623,0.419887,-0.0453719,0.357546,-0.0186273
0.3,0.673416,0.5,-0.00114848,0,-0.00106635,0,2.05588,2.5,-0.00133743,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.305,0.681541,0.75,-0.000605346,0,-0.00106027,0,1.99831,2.5,0.00201739,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.31,0.691906,0.75,-0.00109173,0,-0.00105232,0,1.92479,2.5,0.00984379,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.315,0.701346,0.75,-0.00117014,0,-0.00115738,0,1.92088,2.5,0.0120186,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.32,0.710187,0.75,0.000501252,0,-0.00107395,0,1.91361,2.5,0.0137815,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
0.325,0.720093,0.75,-0.000294538,0,-0.000883855,0,1.96519,2.5,0.0235734,0,0.690707,0.0590981,0.546706,-0.129995,0.489958,-0.0965844
